Date,Close/Last,Open,High,Low
2016-01-01,5007.41,5047.04,5058.06,5007.01
2016-01-02,5007.41,5047.04,5058.06,5007.01
2016-01-03,5007.41,5047.04,5058.06,5007.01
2016-01-04,4903.09,4897.65,4903.09,4846.98
2016-01-05,4891.43,4917.84,4926.73,4872.74
2016-01-06,4835.76,4813.76,4866.04,4804.69
2016-01-07,4689.43,4736.4,4788.02,4688.17
2016-01-08,4643.63,4722.02,4742.57,4637.85
2016-01-09,4643.63,4722.02,4742.57,4637.85
2016-01-10,4643.63,4722.02,4742.57,4637.85
2016-01-11,4637.99,4673.44,4683.02,4573.78
2016-01-12,4685.92,4681.54,4714.8,4618.03
2016-01-13,4526.06,4706.02,4713.98,4517.56
2016-01-14,4615.0,4545.37,4650.55,4470.59
2016-01-15,4488.42,4464.37,4520.45,4419.41
2016-01-16,4488.42,4464.37,4520.45,4419.41
2016-01-17,4488.42,4464.37,4520.45,4419.41
2016-01-18,4488.42,4464.37,4520.45,4419.41
2016-01-19,4476.95,4548.05,4550.57,4430.77
2016-01-20,4471.69,4405.22,4514.92,4313.39
2016-01-21,4472.06,4480.7,4537.15,4432.02
2016-01-22,4591.18,4557.39,4591.18,4540.27
2016-01-23,4591.18,4557.39,4591.18,4540.27
2016-01-24,4591.18,4557.39,4591.18,4540.27
2016-01-25,4518.49,4574.59,4590.44,4514.78
2016-01-26,4567.67,4537.04,4583.21,4503.53
2016-01-27,4468.17,4548.87,4568.85,4450.83
2016-01-28,4506.68,4533.81,4533.81,4447.5
2016-01-29,4613.95,4512.09,4613.95,4511.3
2016-01-30,4613.95,4512.09,4613.95,4511.3
2016-01-31,4613.95,4512.09,4613.95,4511.3
2016-02-01,4620.37,4587.59,4636.93,4565.37
2016-02-02,4516.95,4588.69,4589.9,4503.12
2016-02-03,4504.24,4543.82,4547.32,4424.47
2016-02-04,4509.56,4492.48,4545.52,4463.99
2016-02-05,4363.14,4491.48,4493.19,4350.37
2016-02-06,4363.14,4491.48,4493.19,4350.37
2016-02-07,4363.14,4491.48,4493.19,4350.37
2016-02-08,4283.75,4288.02,4301.53,4212.81
2016-02-09,4268.76,4224.87,4329.61,4222.48
2016-02-10,4283.59,4318.28,4369.62,4280.73
2016-02-11,4266.84,4218.81,4293.22,4209.76
2016-02-12,4337.51,4307.29,4340.13,4274.15
2016-02-13,4337.51,4307.29,4340.13,4274.15
2016-02-14,4337.51,4307.29,4340.13,4274.15
2016-02-15,4337.51,4307.29,4340.13,4274.15
2016-02-16,4435.96,4397.95,4435.96,4376.52
2016-02-17,4534.06,4471.66,4540.78,4463.51
2016-02-18,4487.54,4548.1,4548.47,4482.77
2016-02-19,4504.43,4464.67,4513.15,4455.1
2016-02-20,4504.43,4464.67,4513.15,4455.1
2016-02-21,4504.43,4464.67,4513.15,4455.1
2016-02-22,4570.61,4548.31,4576.47,4546.55
2016-02-23,4503.58,4550.05,4558.06,4500.94
2016-02-24,4542.61,4453.93,4547.64,4425.72
2016-02-25,4582.2,4554.73,4582.2,4516.89
2016-02-26,4590.47,4615.14,4618.85,4580.78
2016-02-27,4590.47,4615.14,4618.85,4580.78
2016-02-28,4590.47,4615.14,4618.85,4580.78
2016-02-29,4557.95,4585.3,4619.9,4557.46
2016-03-01,4689.6,4596.01,4689.6,4581.75
2016-03-02,4703.42,4683.8,4703.58,4665.93
2016-03-03,4707.42,4698.38,4707.72,4674.46
2016-03-04,4717.02,4715.76,4746.65,4687.94
2016-03-05,4717.02,4715.76,4746.65,4687.94
2016-03-06,4717.02,4715.76,4746.65,4687.94
2016-03-07,4708.25,4690.88,4731.19,4674.82
2016-03-08,4648.82,4676.22,4695.04,4642.86
2016-03-09,4674.38,4666.42,4676.47,4642.42
2016-03-10,4662.16,4691.2,4716.14,4607.99
2016-03-11,4748.47,4712.38,4748.79,4700.91
2016-03-12,4748.47,4712.38,4748.79,4700.91
2016-03-13,4748.47,4712.38,4748.79,4700.91
2016-03-14,4750.28,4733.39,4762.27,4731.51
2016-03-15,4728.67,4731.14,4735.27,4712.07
2016-03-16,4763.97,4717.88,4774.78,4716.45
2016-03-17,4774.99,4752.62,4788.09,4737.97
2016-03-18,4795.65,4784.63,4804.58,4772.41
2016-03-19,4795.65,4784.63,4804.58,4772.41
2016-03-20,4795.65,4784.63,4804.58,4772.41
2016-03-21,4808.87,4787.31,4814.85,4785.38
2016-03-22,4821.66,4783.6,4835.6,4781.71
2016-03-23,4768.86,4813.87,4816.67,4765.37
2016-03-24,4773.5,4743.36,4773.5,4734.77
2016-03-25,4773.5,4743.36,4773.5,4734.77
2016-03-26,4773.5,4743.36,4773.5,4734.77
2016-03-27,4773.5,4743.36,4773.5,4734.77
2016-03-28,4766.79,4785.25,4787.39,4760.01
2016-03-29,4846.62,4756.55,4849.31,4749.78
2016-03-30,4869.29,4875.46,4899.14,4859.35
2016-03-31,4869.85,4869.57,4891.3,4864.41
2016-04-01,4914.54,4842.55,4917.09,4832.06
2016-04-02,4914.54,4842.55,4917.09,4832.06
2016-04-03,4914.54,4842.55,4917.09,4832.06
2016-04-04,4891.8,4911.21,4917.75,4885.17
2016-04-05,4843.93,4855.9,4872.7,4838.62
2016-04-06,4920.72,4849.58,4921.51,4849.28
2016-04-07,4848.37,4893.57,4901.49,4831.49
2016-04-08,4850.69,4883.99,4892.6,4835.36
2016-04-09,4850.69,4883.99,4892.6,4835.36
2016-04-10,4850.69,4883.99,4892.6,4835.36
2016-04-11,4833.4,4873.39,4897.55,4833.4
2016-04-12,4872.09,4838.82,4879.6,4808.91
2016-04-13,4947.42,4904.79,4951.91,4903.6
2016-04-14,4945.89,4947.62,4961.3,4931.81
2016-04-15,4938.22,4938.83,4950.43,4925.46
2016-04-16,4938.22,4938.83,4950.43,4925.46
2016-04-17,4938.22,4938.83,4950.43,4925.46
2016-04-18,4960.02,4919.36,4960.79,4915.63
2016-04-19,4940.33,4968.3,4968.67,4915.52
2016-04-20,4948.13,4941.99,4969.32,4928.29
2016-04-21,4945.89,4949.12,4966.61,4932.64
2016-04-22,4906.23,4898.24,4921.66,4872.02
2016-04-23,4906.23,4898.24,4921.66,4872.02
2016-04-24,4906.23,4898.24,4921.66,4872.02
2016-04-25,4895.79,4891.48,4904.87,4878.37
2016-04-26,4888.28,4903.81,4915.0,4875.42
2016-04-27,4863.14,4855.37,4872.91,4826.38
2016-04-28,4805.29,4857.6,4889.16,4796.32
