id,Entity,Code,Day,stay_home_requirements
118765,Sweden,SWE,2020-05-31,1
118766,Sweden,SWE,2020-06-01,1
118767,Sweden,SWE,2020-06-02,1
118768,Sweden,SWE,2020-06-03,1
118769,Sweden,SWE,2020-06-04,1
118770,Sweden,SWE,2020-06-05,1
118771,Sweden,SWE,2020-06-06,1
118772,Sweden,SWE,2020-06-07,1
118773,Sweden,SWE,2020-06-08,1
118774,Sweden,SWE,2020-06-09,1
118775,Sweden,SWE,2020-06-10,1
118776,Sweden,SWE,2020-06-11,1
118777,Sweden,SWE,2020-06-12,1
118778,Sweden,SWE,2020-06-13,1
118779,Sweden,SWE,2020-06-14,1
118780,Sweden,SWE,2020-06-15,1
118781,Sweden,SWE,2020-06-16,1
118782,Sweden,SWE,2020-06-17,1
118783,Sweden,SWE,2020-06-18,1
118784,Sweden,SWE,2020-06-19,1
118785,Sweden,SWE,2020-06-20,1
118786,Sweden,SWE,2020-06-21,1
118787,Sweden,SWE,2020-06-22,1
118788,Sweden,SWE,2020-06-23,1
118789,Sweden,SWE,2020-06-24,1
118790,Sweden,SWE,2020-06-25,1
118791,Sweden,SWE,2020-06-26,1
118792,Sweden,SWE,2020-06-27,1
118793,Sweden,SWE,2020-06-28,1
118794,Sweden,SWE,2020-06-29,1
118795,Sweden,SWE,2020-06-30,1
118796,Sweden,SWE,2020-07-01,1
118797,Sweden,SWE,2020-07-02,1
118798,Sweden,SWE,2020-07-03,1
118799,Sweden,SWE,2020-07-04,1
118800,Sweden,SWE,2020-07-05,1
118801,Sweden,SWE,2020-07-06,1
118802,Sweden,SWE,2020-07-07,1
118803,Sweden,SWE,2020-07-08,1
118804,Sweden,SWE,2020-07-09,1
118805,Sweden,SWE,2020-07-10,1
118806,Sweden,SWE,2020-07-11,1
118807,Sweden,SWE,2020-07-12,1
118808,Sweden,SWE,2020-07-13,1
118809,Sweden,SWE,2020-07-14,1
118810,Sweden,SWE,2020-07-15,1
118811,Sweden,SWE,2020-07-16,1
118812,Sweden,SWE,2020-07-17,1
118813,Sweden,SWE,2020-07-18,1
118814,Sweden,SWE,2020-07-19,1
118815,Sweden,SWE,2020-07-20,1
118816,Sweden,SWE,2020-07-21,1
118817,Sweden,SWE,2020-07-22,1
118818,Sweden,SWE,2020-07-23,1
118819,Sweden,SWE,2020-07-24,1
118820,Sweden,SWE,2020-07-25,1
118821,Sweden,SWE,2020-07-26,1
118822,Sweden,SWE,2020-07-27,1
118823,Sweden,SWE,2020-07-28,1
118824,Sweden,SWE,2020-07-29,1
118825,Sweden,SWE,2020-07-30,1
118826,Sweden,SWE,2020-07-31,1
118827,Sweden,SWE,2020-08-01,1
118828,Sweden,SWE,2020-08-02,1
118829,Sweden,SWE,2020-08-03,1
118830,Sweden,SWE,2020-08-04,1
118831,Sweden,SWE,2020-08-05,1
118832,Sweden,SWE,2020-08-06,1
