Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Stockholm-Observatoriekullen A;98230;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-10-01 00:00:00;2022-03-28 17:00:00;43.133;59.3417;18.0549

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2022-01-22 00:00:01;2022-01-23 00:00:00;2022-01-22;-3.7;Y
2022-01-23 00:00:01;2022-01-24 00:00:00;2022-01-23;-0.4;Y
2022-01-24 00:00:01;2022-01-25 00:00:00;2022-01-24;3.7;Y
2022-01-25 00:00:01;2022-01-26 00:00:00;2022-01-25;0.4;Y
2022-01-26 00:00:01;2022-01-27 00:00:00;2022-01-26;2.1;Y
2022-01-27 00:00:01;2022-01-28 00:00:00;2022-01-27;2.5;Y
2022-01-28 00:00:01;2022-01-29 00:00:00;2022-01-28;0.7;Y
2022-01-29 00:00:01;2022-01-30 00:00:00;2022-01-29;3.1;Y
2022-01-30 00:00:01;2022-01-31 00:00:00;2022-01-30;-0.3;Y
2022-01-31 00:00:01;2022-02-01 00:00:00;2022-01-31;-2.5;Y
2022-02-01 00:00:01;2022-02-02 00:00:00;2022-02-01;-4.4;Y
2022-02-02 00:00:01;2022-02-03 00:00:00;2022-02-02;-5.0;Y
2022-02-03 00:00:01;2022-02-04 00:00:00;2022-02-03;-3.3;Y
2022-02-04 00:00:01;2022-02-05 00:00:00;2022-02-04;2.7;Y
2022-02-05 00:00:01;2022-02-06 00:00:00;2022-02-05;1.5;Y
2022-02-06 00:00:01;2022-02-07 00:00:00;2022-02-06;2.6;Y
2022-02-07 00:00:01;2022-02-08 00:00:00;2022-02-07;-0.0;Y
2022-02-08 00:00:01;2022-02-09 00:00:00;2022-02-08;2.1;Y
2022-02-09 00:00:01;2022-02-10 00:00:00;2022-02-09;3.4;Y
2022-02-10 00:00:01;2022-02-11 00:00:00;2022-02-10;3.1;Y
2022-02-11 00:00:01;2022-02-12 00:00:00;2022-02-11;-0.7;Y
2022-02-12 00:00:01;2022-02-13 00:00:00;2022-02-12;1.7;Y
2022-02-13 00:00:01;2022-02-14 00:00:00;2022-02-13;2.9;Y
2022-02-14 00:00:01;2022-02-15 00:00:00;2022-02-14;2.7;Y
2022-02-15 00:00:01;2022-02-16 00:00:00;2022-02-15;4.2;Y
2022-02-16 00:00:01;2022-02-17 00:00:00;2022-02-16;2.9;Y
2022-02-17 00:00:01;2022-02-18 00:00:00;2022-02-17;0.9;Y
2022-02-18 00:00:01;2022-02-19 00:00:00;2022-02-18;1.3;Y
2022-02-19 00:00:01;2022-02-20 00:00:00;2022-02-19;-0.1;Y
2022-02-20 00:00:01;2022-02-21 00:00:00;2022-02-20;-1.4;Y
2022-02-21 00:00:01;2022-02-22 00:00:00;2022-02-21;0.5;Y
2022-02-22 00:00:01;2022-02-23 00:00:00;2022-02-22;-3.8;Y
2022-02-23 00:00:01;2022-02-24 00:00:00;2022-02-23;-0.9;Y
2022-02-24 00:00:01;2022-02-25 00:00:00;2022-02-24;3.6;Y
2022-02-25 00:00:01;2022-02-26 00:00:00;2022-02-25;2.0;Y
2022-02-26 00:00:01;2022-02-27 00:00:00;2022-02-26;0.4;Y
2022-02-27 00:00:01;2022-02-28 00:00:00;2022-02-27;3.5;Y
2022-02-28 00:00:01;2022-03-01 00:00:00;2022-02-28;1.7;Y
2022-03-01 00:00:01;2022-03-02 00:00:00;2022-03-01;3.5;Y
2022-03-02 00:00:01;2022-03-03 00:00:00;2022-03-02;2.4;Y
2022-03-03 00:00:01;2022-03-04 00:00:00;2022-03-03;1.8;Y
2022-03-04 00:00:01;2022-03-05 00:00:00;2022-03-04;0.6;Y
2022-03-05 00:00:01;2022-03-06 00:00:00;2022-03-05;0.6;Y
2022-03-06 00:00:01;2022-03-07 00:00:00;2022-03-06;2.2;Y
2022-03-07 00:00:01;2022-03-08 00:00:00;2022-03-07;3.6;Y
2022-03-08 00:00:01;2022-03-09 00:00:00;2022-03-08;3.4;Y
2022-03-09 00:00:01;2022-03-10 00:00:00;2022-03-09;2.6;Y
2022-03-10 00:00:01;2022-03-11 00:00:00;2022-03-10;2.1;Y
