,Media_Adwell_upperfunnel_native,Media_DBM_lowerfunnel_display,Media_DBM_midfunnel_display,Media_DBM_upperfunnel_display,Media_DBM_upperfunnel_video,Media_DC_DBM_upperfunnel_video,Media_Eurosize_upperfunnel_OOH_JCD,Media_Eurosize_upperfunnel_OOH_VA,Media_Facebook_lowerfunnel_display,Media_Facebook_lowerfunnel_video,Media_Facebook_upperfunnel_display,Media_Facebook_upperfunnel_video,Media_Flygstart_upperfunnel_newsletter,Media_Google_lowerfunnel_display,Media_Google_midfunnel_display,Media_Google_upperfunnel_display,Media_Google_video_lowerfunnel_Youtube,Media_Google_video_upperfunnel_Youtube,Media_HejSenior_upperfunnel_newsletter,Media_Instagram_lowerfunnel_display,Media_Instagram_lowerfunnel_video,Media_Instagram_upperfunnel_display,Media_Instagram_upperfunnel_video,Media_MediaMath_upperfunnel_video,Media_Newsletter_lowerfunnel,Media_Newsner_midfunnel_native,Media_Online_radio_upperfunnel,Media_Radio_upperfunnel,Media_Secreteescape_midfunnel_display,Media_Smarter_Travel_upperfunnel_affiliate,Media_Snapchat_upperfunnel_display,Media_Snapchat_upperfunnel_video,Media_Sociomantic_lowerfunnel_retarg_display,Media_Sociomantic_upperfunnel_prospecting_display,Media_TV_upperfunnel,Media_Tiktok_upperfunnel_video,Media_TradeTracker_upperfunnel_affiliate,Media_Youtube_Masthead_upperfunnel_video
2016-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283015.0,41891.0,0.0,0.0,0.0,0.0,0.0,46398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610822.0,0.0,0,0.0,0.0,225734.0,66923.0,1971495.0,0.0,0.0,0.0
2016-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310291.0,37107.0,0.0,0.0,0.0,0.0,0.0,47828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,869865.0,0.0,0,0.0,0.0,229689.0,68151.0,2141235.0,0.0,0.0,0.0
2016-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355317.0,34912.0,0.0,0.0,0.0,0.0,0.0,45368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864946.0,0.0,0,0.0,0.0,235369.0,70433.0,1155537.0,0.0,0.0,0.0
2016-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247770.0,33820.0,0.0,0.0,0.0,0.0,0.0,43794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826324.0,0.0,0,0.0,0.0,255461.0,72621.0,1675292.0,0.0,0.0,0.0
2016-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238065.0,29822.0,0.0,0.0,0.0,0.0,0.0,42752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503370.0,0.0,0,0.0,0.0,278345.0,73669.0,2585588.0,0.0,0.0,0.0
2016-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279805.0,34743.0,0.0,0.0,0.0,0.0,0.0,47232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583652.0,0.0,0,0.0,0.0,279125.0,76030.0,2556533.0,0.0,0.0,0.0
2016-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298058.0,43639.0,0.0,0.0,0.0,0.0,0.0,54917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756251.0,0.0,0,0.0,0.0,281044.0,76755.0,2307756.0,0.0,0.0,0.0
2016-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210021.0,39149.0,0.0,0.0,0.0,0.0,0.0,45590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749424.0,0.0,0,0.0,0.0,284302.0,78232.0,2249699.0,0.0,0.0,0.0
2016-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175274.0,62538.0,0.0,0.0,0.0,0.0,0.0,45561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614991.0,0.0,0,0.0,0.0,284006.0,79450.0,700998.0,0.0,0.0,0.0
2016-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269487.0,69557.0,0.0,0.0,0.0,0.0,0.0,40874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989291.0,0.0,0,0.0,0.0,283425.0,80645.0,2130346.0,0.0,0.0,0.0
2016-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351309.0,61908.0,0.0,0.0,0.0,0.0,0.0,43375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,971282.0,0.0,0,0.0,0.0,283083.0,81233.0,1840110.0,0.0,0.0,0.0
2016-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297200.0,65438.0,0.0,0.0,0.0,0.0,0.0,42052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,875732.0,0.0,0,0.0,0.0,280896.0,82351.0,566676.0,0.0,0.0,0.0
2016-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340412.0,65319.0,0.0,0.0,0.0,0.0,0.0,41052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614673.0,0.0,0,0.0,0.0,282524.0,83023.0,2045856.0,0.0,0.0,0.0
2016-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380743.0,49021.0,0.0,0.0,0.0,0.0,0.0,49580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784814.0,0.0,0,0.0,0.0,279851.0,82622.0,1486436.0,0.0,0.0,0.0
2016-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121243.0,0.0,0.0,0.0,0.0,0.0,0.0,46933.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706828.0,0.0,0,0.0,0.0,283709.0,83663.0,785143.0,0.0,0.0,0.0
2016-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505758.0,0.0,0,0.0,0.0,280346.0,84011.0,732040.0,0.0,0.0,0.0
2016-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,842201.0,0.0,0,0.0,0.0,274014.0,85525.0,583983.0,0.0,0.0,0.0
2016-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28513.0,0.0,0.0,0.0,0.0,0.0,0.0,40680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907303.0,0.0,0,0.0,0.0,275100.0,87310.0,846218.0,0.0,0.0,0.0
2016-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104952.0,0.0,0.0,0.0,0.0,0.0,0.0,38715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679638.0,0.0,0,0.0,0.0,249188.0,88107.0,1189441.0,0.0,0.0,0.0
2016-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131489.0,0.0,0.0,0.0,0.0,0.0,0.0,43332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525157.0,0.0,0,0.0,0.0,215231.0,90475.0,1091666.0,0.0,0.0,0.0
2016-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150710.0,0.0,0.0,0.0,0.0,0.0,0.0,48960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381963.0,0.0,0,0.0,0.0,213236.0,90711.0,598672.0,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231112.0,0.0,0.0,0.0,0.0,0.0,0.0,50313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,807845.0,0.0,0,0.0,0.0,213421.0,89323.0,3208375.0,0.0,0.0,0.0
2016-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293819.0,0.0,0.0,0.0,0.0,0.0,0.0,53208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1138025.0,0.0,0,0.0,0.0,214155.0,89693.0,1498327.0,0.0,0.0,0.0
2016-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292376.0,0.0,0.0,0.0,0.0,0.0,0.0,50500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134465.0,0.0,0,0.0,0.0,215265.0,89574.0,1881925.0,0.0,0.0,0.0
2016-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280633.0,0.0,0.0,0.0,0.0,0.0,0.0,46235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1065607.0,0.0,0,0.0,0.0,228941.0,90537.0,331910.0,0.0,0.0,0.0
2016-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254766.0,0.0,0.0,0.0,0.0,0.0,0.0,46625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478222.0,0.0,0,0.0,0.0,234253.0,91134.0,812604.0,0.0,0.0,0.0
2016-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273114.0,0.0,0.0,0.0,0.0,0.0,0.0,51078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836170.0,0.0,0,0.0,0.0,237102.0,101693.0,1277058.0,0.0,0.0,0.0
2016-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288898.0,0.0,0.0,0.0,0.0,0.0,0.0,61023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970537.0,0.0,0,0.0,0.0,231310.0,104432.0,336082.51993847924,0.0,0.0,0.0
2016-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318626.0,0.0,0.0,0.0,0.0,0.0,0.0,49812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1287094.0,0.0,0,0.0,0.0,229918.0,107995.0,1267972.039489466,0.0,0.0,0.0
2016-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352569.0,0.0,0.0,0.0,0.0,0.0,0.0,48299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1173741.0,0.0,0,0.0,0.0,246163.0,110141.0,3028205.7191384467,0.0,0.0,0.0
2016-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403688.0,0.0,0.0,0.0,0.0,0.0,0.0,43635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200656.0,0.0,0,0.0,0.0,245987.0,110077.0,1187993.6112161113,0.0,0.0,0.0
2016-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186777.0,0.0,0.0,0.0,0.0,0.0,0.0,44616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178386.0,0.0,0,0.0,0.0,242439.0,110777.0,1453963.0696552603,0.0,0.0,0.0
2016-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212154.0,0.0,0.0,0.0,0.0,0.0,0.0,14925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827868.0,0.0,0,0.0,0.0,241101.0,112436.0,941035.0410517638,0.0,0.0,0.0
2016-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819648.0,0.0,0,0.0,0.0,240552.0,114191.0,1056924.1278414268,0.0,0.0,0.0
2016-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574921.0,0.0,0,0.0,0.0,240227.0,113385.0,412576.9704903498,0.0,0.0,0.0
2016-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220219.0,0.0,0.0,0.0,0.0,0.0,0.0,186681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013632.0,0.0,0,0.0,0.0,244389.0,114281.0,1119672.258301868,0.0,0.0,0.0
2016-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239967.0,0.0,0.0,0.0,0.0,0.0,0.0,140698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1036111.0,0.0,0,0.0,0.0,243321.0,115765.0,1468841.9063437134,0.0,0.0,0.0
2016-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293780.0,0.0,0.0,0.0,0.0,0.0,0.0,153624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1111447.0,0.0,0,0.0,0.0,242225.0,115081.0,1009061.6317583541,0.0,0.0,0.0
2016-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226538.0,0.0,0.0,0.0,0.0,109115.0,0.0,149224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176800.0,0.0,0,0.0,0.0,246853.0,117891.0,2736451.5320699182,0.0,0.0,0.0
