Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Norsborg 2;97160;2.0

Parameternamn;Beskrivning;Enhet
Nederbörd;1 gång/dygn, kl 18;code

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1968-01-01 00:00:00;1974-12-31 23:59:59;15.0;59.2524;17.7989
1975-01-01 00:00:00;2022-02-28 23:59:59;8.671;59.2518;17.7960

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbörd;Kvalitet;;Tidsutsnitt:
1969-01-29 06:00:01;1969-01-30 06:00:00;1969-01-29;regn;Y
1969-01-30 06:00:01;1969-01-31 06:00:00;1969-01-30;snöbyar;Y
1969-01-31 06:00:01;1969-02-01 06:00:00;1969-01-31;snowfall;Y
1969-02-01 06:00:01;1969-02-02 06:00:00;1969-02-01;snowfall;Y
1969-02-02 06:00:01;1969-02-03 06:00:00;1969-02-02;snowfall;Y
1969-02-04 06:00:01;1969-02-05 06:00:00;1969-02-04;snöbyar;Y
1969-02-07 06:00:01;1969-02-08 06:00:00;1969-02-07;snowfall;Y
1969-02-08 06:00:01;1969-02-09 06:00:00;1969-02-08;snöbyar;Y
1969-02-09 06:00:01;1969-02-10 06:00:00;1969-02-09;snöbyar;Y
1969-02-10 06:00:01;1969-02-11 06:00:00;1969-02-10;snöbyar;Y
1969-02-11 06:00:01;1969-02-12 06:00:00;1969-02-11;snöbyar;Y
1969-02-12 06:00:01;1969-02-13 06:00:00;1969-02-12;snowfall;Y
1969-02-13 06:00:01;1969-02-14 06:00:00;1969-02-13;snowfall;Y
1969-02-14 06:00:01;1969-02-15 06:00:00;1969-02-14;snöbyar;Y
1969-02-16 06:00:01;1969-02-17 06:00:00;1969-02-16;snöbyar;Y
1969-02-17 06:00:01;1969-02-18 06:00:00;1969-02-17;snöbyar;Y
1969-02-18 06:00:01;1969-02-19 06:00:00;1969-02-18;snöbyar;Y
1969-02-19 06:00:01;1969-02-20 06:00:00;1969-02-19;snowfall;Y
1969-02-20 06:00:01;1969-02-21 06:00:00;1969-02-20;snowfall;Y
1969-02-21 06:00:01;1969-02-22 06:00:00;1969-02-21;snowfall;Y
1969-02-23 06:00:01;1969-02-24 06:00:00;1969-02-23;snowfall;Y
1969-02-25 06:00:01;1969-02-26 06:00:00;1969-02-25;snowfall;Y
1969-02-26 06:00:01;1969-02-27 06:00:00;1969-02-26;snowfall;Y
1969-02-27 06:00:01;1969-02-28 06:00:00;1969-02-27;snowfall;Y
1969-03-04 06:00:01;1969-03-05 06:00:00;1969-03-04;snöbyar;Y
1969-03-05 06:00:01;1969-03-06 06:00:00;1969-03-05;snöbyar;Y
1969-03-08 06:00:01;1969-03-09 06:00:00;1969-03-08;snowfall;Y
1969-03-11 06:00:01;1969-03-12 06:00:00;1969-03-11;snowfall;Y
1969-03-30 06:00:01;1969-03-31 06:00:00;1969-03-30;snöblandat regn;Y
1969-03-31 06:00:01;1969-04-01 06:00:00;1969-03-31;snöblandat regn;Y
1969-04-01 06:00:01;1969-04-02 06:00:00;1969-04-01;snöblandat regn;Y
1969-04-02 06:00:01;1969-04-03 06:00:00;1969-04-02;snöblandat regn;Y
1969-04-10 06:00:01;1969-04-11 06:00:00;1969-04-10;snöblandat regn;Y
1969-04-13 06:00:01;1969-04-14 06:00:00;1969-04-13;regnskurar;Y
1969-04-13 06:00:01;1969-04-14 06:00:00;1969-04-13;snowfall;Y
1969-04-14 06:00:01;1969-04-15 06:00:00;1969-04-14;snowfall;Y
1969-04-14 06:00:01;1969-04-15 06:00:00;1969-04-14;regn;Y
1969-04-15 06:00:01;1969-04-16 06:00:00;1969-04-15;snöblandat regn;Y
1969-04-16 06:00:01;1969-04-17 06:00:00;1969-04-16;snöblandat regn;Y
1969-04-17 06:00:01;1969-04-18 06:00:00;1969-04-17;snöbyar;Y
1969-04-18 06:00:01;1969-04-19 06:00:00;1969-04-18;snowfall;Y
1969-04-19 06:00:01;1969-04-20 06:00:00;1969-04-19;snöblandat regn;Y
1969-04-20 06:00:01;1969-04-21 06:00:00;1969-04-20;regn;Y
1969-04-21 06:00:01;1969-04-22 06:00:00;1969-04-21;regn;Y
1969-04-27 06:00:01;1969-04-28 06:00:00;1969-04-27;regn;Y
1969-04-29 06:00:01;1969-04-30 06:00:00;1969-04-29;duggregn;Y
1969-05-08 06:00:01;1969-05-09 06:00:00;1969-05-08;regn;Y
1969-05-11 06:00:01;1969-05-12 06:00:00;1969-05-11;regn;Y
1969-05-12 06:00:01;1969-05-13 06:00:00;1969-05-12;regn;Y
1969-05-13 06:00:01;1969-05-14 06:00:00;1969-05-13;regn;Y
1969-05-14 06:00:01;1969-05-15 06:00:00;1969-05-14;regn;Y
1969-05-15 06:00:01;1969-05-16 06:00:00;1969-05-15;regn;Y
1969-05-16 06:00:01;1969-05-17 06:00:00;1969-05-16;regn;Y
1969-05-17 06:00:01;1969-05-18 06:00:00;1969-05-17;regn;Y
1969-05-18 06:00:01;1969-05-19 06:00:00;1969-05-18;regn;Y
1969-06-03 06:00:01;1969-06-04 06:00:00;1969-06-03;regn;Y
1969-06-04 06:00:01;1969-06-05 06:00:00;1969-06-04;regn;Y
1969-07-02 06:00:01;1969-07-03 06:00:00;1969-07-02;regn;Y
1969-07-03 06:00:01;1969-07-04 06:00:00;1969-07-03;regn;Y
1969-07-07 06:00:01;1969-07-08 06:00:00;1969-07-07;regn;Y
1969-07-13 06:00:01;1969-07-14 06:00:00;1969-07-13;regn;Y
1969-07-17 06:00:01;1969-07-18 06:00:00;1969-07-17;regn;Y
1969-07-20 06:00:01;1969-07-21 06:00:00;1969-07-20;regn;Y
1969-08-20 06:00:01;1969-08-21 06:00:00;1969-08-20;regn;Y
1969-08-21 06:00:01;1969-08-22 06:00:00;1969-08-21;regn;Y
1969-08-24 06:00:01;1969-08-25 06:00:00;1969-08-24;regn;Y
1969-08-25 06:00:01;1969-08-26 06:00:00;1969-08-25;regn;Y
1969-08-26 06:00:01;1969-08-27 06:00:00;1969-08-26;regn;Y
1969-08-27 06:00:01;1969-08-28 06:00:00;1969-08-27;regn;Y
1969-08-29 06:00:01;1969-08-30 06:00:00;1969-08-29;regn;Y
1969-08-30 06:00:01;1969-08-31 06:00:00;1969-08-30;regn;Y
1969-09-01 06:00:01;1969-09-02 06:00:00;1969-09-01;regn;Y
1969-09-04 06:00:01;1969-09-05 06:00:00;1969-09-04;regn;Y
1969-09-13 06:00:01;1969-09-14 06:00:00;1969-09-13;regn;Y
1969-09-14 06:00:01;1969-09-15 06:00:00;1969-09-14;duggregn;Y
1969-09-15 06:00:01;1969-09-16 06:00:00;1969-09-15;duggregn;Y
1969-09-16 06:00:01;1969-09-17 06:00:00;1969-09-16;regn;Y
1969-09-19 06:00:01;1969-09-20 06:00:00;1969-09-19;regn;Y
1969-09-21 06:00:01;1969-09-22 06:00:00;1969-09-21;regn;Y
1969-09-22 06:00:01;1969-09-23 06:00:00;1969-09-22;regn;Y
1969-09-26 06:00:01;1969-09-27 06:00:00;1969-09-26;regn;Y
1969-09-28 06:00:01;1969-09-29 06:00:00;1969-09-28;regn;Y
1969-09-30 06:00:01;1969-10-01 06:00:00;1969-09-30;regn;Y
1969-10-01 06:00:01;1969-10-02 06:00:00;1969-10-01;regn;Y
1969-10-02 06:00:01;1969-10-03 06:00:00;1969-10-02;regnskurar;Y
1969-10-22 06:00:01;1969-10-23 06:00:00;1969-10-22;duggregn;Y
1969-10-22 06:00:01;1969-10-23 06:00:00;1969-10-22;regn;Y
1969-10-24 06:00:01;1969-10-25 06:00:00;1969-10-24;regn;Y
1969-10-28 06:00:01;1969-10-29 06:00:00;1969-10-28;regn;Y
1969-10-29 06:00:01;1969-10-30 06:00:00;1969-10-29;regnskurar;Y
1969-10-31 06:00:01;1969-11-01 06:00:00;1969-10-31;regnskurar;Y
1969-11-02 06:00:01;1969-11-03 06:00:00;1969-11-02;regn;Y
1969-11-03 06:00:01;1969-11-04 06:00:00;1969-11-03;snöblandat regn;Y
